political_leaning,war_rate,nuclear_rate,terrorism_rate,sanctions_rate,diplomacy_rate
conservative,0.8828232188493752,0.25046536126392066,0.2528087603404854,0.20800054774070753,0.46019907002610416
liberal,0.6338276810740047,0.16398324106955392,0.13832886793441518,0.16006743272583954,0.4975690295529252
