ngram,frequency
trump s,1235
com trump,1192
donald trump,808
u s,772
joe biden,395
thehill com,392
president trump,361
white house,334
the us,322
cnn com,320
kamala harris,311
bernie sanders,310
united states,296
biden s,296
the election,294
washingtonpost com,292
the united,291
supreme court,284
going to,266
reuters com,258
co uk,257
the president,256
want to,246
trump and,244
trump is,240
nytimes com,231
would be,226
the world,225
trump says,219
the first,216
